Dalam Miliaran IDR,Q1 2026,Q4 2025,Q3 2025,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008
Bagian Atas Hasil Bersih Entitas Asosiasi ,1902,,2980,2010,1779,,647,-1644,2609,,524,245,514,581,523,363,570,378,297,337,301,258,136,-262,482,438,483,318,243,3668,674,444,337,4312,333,393,402,1348,288,334,144,203,332,316,305,398,270,250,301,393,320,320,270,,,,,,,,,,,,,,,,,,,,
Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,,,,,,,2102,4044,,,2110,1891,1965,1674,1957,1307,1256,1459,1561,1156,975,745,777,-347,1294,1455,1788,1040,1322,-1913,1579,1048,1199,-3212,1489,1486,1491,-1330,972,919,674,707,757,861,986,1204,1038,1577,1201,1300,1217,1285,1192,,,,,,,,,,,,,,,,,,,,
Total Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,1902,2849,2980,2010,1779,2533,2749,2400,2609,2250,2634,2136,2479,2255,2480,1670,1826,1837,1858,1493,1276,1003,913,-609,1776,1893,2271,1358,1565,1755,2253,1492,1536,1100,1822,1879,1893,18,1260,1253,818,910,1089,1177,1291,1602,1308,1827,1502,1693,1537,1605,1462,1386,1353,1433,1504,1299,1509,1509,1443,1221,1287,1311,1077,910,761,501,395,495,755,639,515
Others (Penghasilan/Beban Lain-lain),-19,-683,893,959,-15,-184,1397,356,-208,-234,270,568,825,-2976,-2204,4161,361,-533,376,212,-24,-328,247,6257,777,1073,835,800,561,645,558,752,469,1076,150,521,439,-43,606,532,476,-3897,641,548,805,-1462,965,665,757,1101,914,761,764,914,766,732,485,554,502,611,409,437,440,323,218,270,183,138,322,639,236,147,165
Total Penghasilan/Beban Lain-lain,1759,2191,3592,3412,1428,1595,4883,2265,1858,1708,2731,2641,3381,-456,362,5965,2318,1420,2334,1812,1251,726,969,5641,1535,2443,2493,1531,1403,1144,2814,2229,1940,2197,1993,2345,2276,178,1775,1658,1108,-3230,1699,1719,2230,115,2332,2570,2172,2618,1943,2220,2139,2174,1965,1944,1945,1851,2073,2132,1884,1622,1748,1662,1274,1221,957,845,623,993,962,819,713
Laba Sebelum Pajak,8069,12466,12815,13361,10646,12223,15807,12959,12012,13537,12444,14581,14167,10920,10668,17344,11458,8667,9692,8214,5777,2890,3865,7719,7267,9063,9295,7379,8317,7810,10551,8690,7944,7658,7571,6559,7349,5951,6070,5745,4487,1239,6318,6124,5949,5618,7072,7616,7046,8762,6507,6263,5991,6800,7217,7276,6605,6373,6946,6229,6224,5917,5509,5084,4521,4478,4570,4109,3245,2905,4315,4301,3842
Beban Pajak Penghasilan,-1646,-2373,-2184,-2435,-2091,-2354,-2828,-2293,-2253,-2611,-2300,-2741,-2576,-2512,-2573,-2699,-2186,-2099,-1817,-1728,-1120,-552,-769,-269,-1580,-2070,-1968,-1743,-1652,-1955,-2228,-1830,-1610,-1925,-1518,-1296,-1277,-880,-1149,-1074,-848,-237,-1465,-1174,-1141,-961,-1425,-1505,-1336,-1851,-1250,-1080,-1045,-1256,-1388,-1371,-1141,-1218,-1108,-1215,-1154,-1189,-860,-1038,-940,-968,-1025,-1072,-893,-662,-1114,-1218,-1071
Laba Bersih Dari Operasi Yang Dilajutkan,6423,10093,10631,10926,8555,9869,12979,10666,9759,10926,10144,11840,11591,8408,8095,14645,9272,6568,7875,6486,4657,2338,3096,7450,5687,6993,7327,5636,6665,5855,8323,6860,6334,5733,6053,5263,6072,5071,4921,4671,3639,1002,4853,4950,4808,4657,5647,6111,5710,6911,5257,5183,4946,5544,5829,5905,5464,5155,5838,5014,5070,4728,4649,4046,3581,3510,3545,3037,2352,2243,3201,3083,2771
Hak Minoritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-724,-726,-621,-567,-574,-684,-669,-477,-423,-584,-578,-522
Laba Bersih Tahun Berjalan,6423,10093,10631,10926,8555,9869,12979,10666,9759,10926,10144,11840,11591,8408,8095,14645,9272,6568,7875,6486,4657,2338,3096,7450,5687,6993,7327,5636,6665,5855,8323,6860,6334,5733,6053,5263,6072,5071,4921,4671,3639,1002,4853,4950,4808,4657,5647,6111,5710,6911,5257,5183,4946,5544,5829,5905,5464,5155,5838,5014,5070,4004,3923,3425,3014,2936,2861,2368,1875,1820,2617,2505,2249
Pendapatan Komprehensif Lain,-1390,-1210,216,-913,1367,3570,-4362,1811,1559,-578,1467,157,-1875,1649,1334,1918,624,178,-209,-,2226,-1693,1089,-3823,3347,-1106,-517,-1084,-635,-224,746,511,434,-470,69,-20,-108,2655,-736,64,-481,-1016,1098,149,610,250,46,143,-416,753,822,30,-194,-76,198,76,-480,232,150,-37,-74,,,,,,,,,,,,
Jumlah Laba Komprehensif,5033,8883,10847,10013,9922,13439,8617,12477,11318,10348,11611,11997,9716,10057,9429,16563,9896,6746,7666,6486,6883,645,4185,3627,9034,5887,6810,4552,6030,5631,9069,7371,6768,5263,6122,5243,5964,7726,4185,4735,3158,-14,5951,5099,5418,4907,5693,6254,5294,7664,6079,5213,4752,5468,6027,5981,4984,5387,5988,4977,4996,,,,,,,,,,,,
Pemilik Entitas Induk (Laba Bersih),5850,8296,8958,8583,6932,8047,9998,8392,7464,8148,8242,8730,8719,5614,5156,11315,6859,5219,6146,5103,3728,2125,2661,6568,4810,5839,6065,4588,5215,4600,6689,5404,4980,4688,4819,4262,5078,3879,4161,4004,3112,2467,3945,4060,3992,4689,4677,5088,4727,5953,4645,4509,4310,4750,4993,5031,4647,4344,4853,4285,4303,4728,4649,4046,3581,3510,3545,3037,2352,2243,3201,3083,2771
Others (Laba Bersih),573,1797,1673,2343,1623,1822,2981,2274,2295,2778,1902,3110,2872,2794,2939,3330,2413,1349,1729,1383,929,213,435,882,877,1154,1262,1048,1450,1255,1634,1456,1354,1045,1234,1001,994,1192,760,667,527,-1465,908,890,816,-32,970,1023,983,958,612,674,636,794,836,874,817,811,985,729,767,-724,-726,-621,-567,-574,-684,-669,-477,-423,-584,-578,-522
Total Laba Bersih Yang Dapat Kepada,6423,10093,10631,10926,8555,9869,12979,10666,9759,10926,10144,11840,11591,8408,8095,14645,9272,6568,7875,6486,4657,2338,3096,7450,5687,6993,7327,5636,6665,5855,8323,6860,6334,5733,6053,5263,6072,5071,4921,4671,3639,1002,4853,4950,4808,4657,5647,6111,5710,6911,5257,5183,4946,5544,5829,5905,5464,5155,5838,5014,5070,4004,3923,3425,3014,2936,2861,2368,1875,1820,2617,2505,2249
Pemilik Entitas Induk (Laba Komprehensif),4921,7530,9075,8157,7701,10087,7595,9366,8360,7845,9031,8820,7722,6612,5907,12456,7216,5370,6087,5200,5098,1037,3084,4527,6574,4964,5751,3884,4865,4456,7188,5775,5193,4396,4856,4245,4993,6245,3570,4079,2732,1738,4698,4215,4625,4593,4679,5082,4513,6501,4983,4509,4144,4687,5141,5041,4184,4562,5006,4249,4241,,,,,,,,,,,,
Others (Laba Komprehensif),112,1353,1772,1856,2221,3352,1022,3111,2958,2503,2580,3177,1994,3445,3522,4107,2680,1376,1579,1286,1785,-392,1101,-900,2460,923,1059,668,1165,1175,1881,1596,1575,867,1266,998,971,1481,615,656,426,-1752,1253,884,793,317,1014,1172,781,1163,1096,704,608,781,886,940,800,825,982,728,755,,,,,,,,,,,,
Total Laba Komprehensif Yang Dapat Diatribusikan kepada,5033,8883,10847,10013,9922,13439,8617,12477,11318,10348,11611,11997,9716,10057,9429,16563,9896,6746,7666,6486,6883,645,4185,3627,9034,5887,6810,4552,6030,5631,9069,7371,6768,5263,6122,5243,5964,7726,4185,4735,3158,-14,5951,5099,5418,4910,5693,6254,5294,7664,6079,5213,4752,5468,6027,5981,4984,5387,5988,4977,4996,,,,,,,,,,,,
